	games	counts
0	Among Us	745
1	Animal Crossing: New Horizons	235
2	Apex Legends	267
3	Call Of Duty: Modern Warfare	1117
4	Counter-Strike: Global Offensive	663
5	Dead by Daylight	145
6	Dota 2	213
7	Escape From Tarkov	521
8	FIFA 20	198
9	FIFA 21	113
10	Fall Guys: Ultimate Knockout	460
11	Fortnite	730
12	Grand Theft Auto V	929
13	Hearthstone	163
14	Just Chatting	3421
15	League of Legends	1331
16	Minecraft	599
17	Teamfight Tactics	217
18	Unlisted on Twitch	422
19	VALORANT	1206
20	World of Warcraft	246
